entity_id,reldesc,reltype,relatedEntityId
33692,"Corporate Partner / Thought Leader",Generic,213472
33791,NULL,Membership,52348
33791,"Lobbying Client",Transaction,16671
33791,"Lobby Client",Transaction,16073
33791,lobbyist,Transaction,16127
33791,Member,Membership,202386
33793,NULL,Hierarchy,14952
34622,parent,Hierarchy,182294
34866,"partner company",Membership,37068
34866,Owner,Ownership,151139
34866,NULL,Hierarchy,75696
34903,"associate member",Membership,48388
35403,Client,Transaction,102721
35403,Co-owner,Ownership,176422
35403,NULL,Ownership,211211
35403,"Operator (under lease with NYC)",Ownership,212058
35403,"Operator (under lease with NYC)",Ownership,212060
35403,client,Transaction,20
35403,client,Transaction,37
36858,client,Transaction,206224
37303,NULL,Ownership,139
37428,client,Transaction,33180
37428,NULL,Hierarchy,58596
37775,"partner company",Membership,37068
37805,"international affiliate",Generic,143010
38195,"associate member",Membership,48388
38353,"Lobbying Client",Transaction,39346
38353,"Lobbying Client",Transaction,15844
38353,"Lobbying Client",Transaction,15802
38353,"Lobbying Client",Transaction,34751
38353,"Campaign Contribution",Donation,13297
38353,"Campaign Contribution",Donation,13669
38353,NULL,Membership,44220
38480,"partner company",Membership,37068
39409,NULL,Ownership,39408
39409,"security firm",Transaction,87926
40360,NULL,Membership,44220
40360,"Lobbying Client",Transaction,18430
40360,"Lobbying Client",Transaction,2947
40360,Member,Membership,50618
40360,NULL,Membership,52325
40360,"National Sponsor",Membership,58354
40360,Member,Membership,102874
40360,Donation,Donation,101171
40360,Grant,Donation,103496
40360,Grant,Donation,40351
40360,Grant,Donation,49463
40360,Grant,Donation,38173
40360,Grant,Donation,34633
40360,Grant,Donation,58354
40360,Grant,Donation,103497
40360,Grant,Donation,103498
40360,Grant,Donation,42014
40360,Grant,Donation,103499
40360,Grant,Donation,103500
40360,Grant,Donation,103501
40360,Grant,Donation,103502
40360,Grant,Donation,103503
40360,Grant,Donation,41939
40360,Grant,Donation,103504
40360,Grant,Donation,103505
40360,Grant,Donation,103506
40360,Grant,Donation,66845
40360,Grant,Donation,41635
40360,Grant,Donation,103507
40360,Grant,Donation,14933
40360,Grant,Donation,14989
40360,Grant,Donation,103508
40360,Grant,Donation,103509
40360,Grant,Donation,43536
40360,Grant,Donation,50284
40360,Grant,Donation,47976
40360,Grant,Donation,103510
40360,Grant,Donation,103511
40360,Grant,Donation,103512
40360,Grant,Donation,103513
40360,Grant,Donation,35200
40360,Grant,Donation,103514
40360,Grant,Donation,102879
40360,Grant,Donation,38802
40360,Grant,Donation,103515
40360,Grant,Donation,73683
40360,Grant,Donation,103516
40360,Grant,Donation,103517
40360,Grant,Donation,103518
40360,Grant,Donation,52084
40360,Grant,Donation,103519
40360,Grant,Donation,103520
40360,Grant,Donation,15009
40360,Grant,Donation,42367
40360,Grant,Donation,103521
40360,Grant,Donation,103522
40360,Grant,Donation,103523
40360,Grant,Donation,85657
40360,Grant,Donation,103524
40360,Grant,Donation,103525
40360,Grant,Donation,103526
40360,Grant,Donation,103527
40360,"Lobbying Client",Transaction,40612
40360,client,Transaction,27941
40360,"lobbying client",Transaction,136228
40360,"lobbying client",Transaction,26752
40360,"lobbying client",Transaction,136215
40360,"lobbying client",Transaction,143468
40360,"lobbying client",Transaction,136267
40360,"lobbying client",Transaction,100181
40360,"consulting client",Transaction,79148
40360,"Lobbying Client",Transaction,140288
40360,"Lobbying Client",Transaction,146520
40360,NULL,Membership,147519
40360,"Association Council ",Membership,40351
40360,"Lobbying client",Transaction,40060
40360,Client,Transaction,115390
40360,Grant,Donation,176892
40360,"lobbying client",Transaction,133406
40360,"business council member",Membership,77321
40360,Grant,Donation,150588
40360,member,Membership,216288
40360,NULL,Membership,218797
40360,client,Transaction,224416
40846,"Lobbying (for client)",Lobbying,14629
40846,"Lobbying (for client)",Lobbying,15575
40846,"Lobbying (for client)",Lobbying,44890
40846,"Lobbying (for client)",Lobbying,14615
40846,"Lobbying (for client)",Lobbying,14619
40846,"Lobbying (for client)",Lobbying,12885
40846,"Lobbying (for client)",Lobbying,14634
40846,"Lobbying (for client)",Lobbying,12884
40846,"Lobbying (for client)",Lobbying,14685
40846,"Lobbying (for client)",Lobbying,15682
40846,"Lobbying (for client)",Lobbying,14605
40846,"Lobbying (for client)",Lobbying,14658
40846,"Lobbying (for client)",Lobbying,14609
40846,"Lobbying (for client)",Lobbying,16072
40846,"Lobbying (for client)",Lobbying,15482
40846,"Lobbying (for client)",Lobbying,15447
40846,"Lobbying (for client)",Lobbying,28677
40846,"Lobbying (for client)",Lobbying,14640
40846,"Lobbying (for client)",Lobbying,45411
40846,"Lobbying (for client)",Lobbying,15586
40846,"Lobbying (for client)",Lobbying,14679
40846,"Lobbying (for client)",Lobbying,86111
40846,"Lobbying (for client)",Lobbying,14724
40846,NULL,Transaction,38397
40846,"partner company",Membership,37068
40846,"Direct Lobbying",Lobbying,78793
40846,"Lobbying (for client)",Lobbying,14736
40846,NULL,Transaction,8
40846,NULL,Transaction,83484
40846,NULL,Transaction,20
40846,NULL,Transaction,12
40846,NULL,Transaction,306
40846,NULL,Transaction,21
40846,consultant,Transaction,79962
40846,"Corporate supporter",Donation,110860
40846,NULL,Transaction,79962
40846,Donation,Donation,164259
40846,"a law firm",Transaction,51759
41355,"associate member",Membership,48388
41446,"associate member",Membership,48388
41446,Partner,Membership,140542
41880,"lobbying client",Transaction,112465
41887,"Paul M Bator Award",Donation,144982
42226,Owner,Ownership,38130
42226,"Member Institution",Membership,78418
42226,NULL,Ownership,113732
42226,"Campaign Contribution",Donation,159808
42226,subsidiary,Hierarchy,216079
42226,debtor,Transaction,119257
43658,"child org",Hierarchy,192991
44289,Grant,Donation,35269
45254,Grant,Donation,33796
45254,NULL,Hierarchy,28254
45254,Member,Membership,202386
45254,NULL,Membership,224807
45879,Department,Ownership,111947
45879,"Campaign Contribution",Donation,42778
45879,"Campaign Contribution",Donation,159836
45879,"a client",Transaction,40846
45879,"a client",Transaction,174299
48026,Member,Membership,251653
48388,"an affiliate",Transaction,48201
48388,Donation,Donation,49463
48452," co-signed petition against Health Care Reform bill",Transaction,48201
48452,member,Membership,48388
49211,"lobbying client",Transaction,52027
49211,"lobbying client",Transaction,17007
49211,"lobbying client",Transaction,216284
49211,"lobbying client",Transaction,17011
49463,"associate member",Membership,48388
49463,NULL,Membership,139722
49463,Member,Membership,202386
49463,"Paid for a flight",Donation,228998
49779,"associate member",Membership,48388
49779,"Gala Bronze Sponsors",Donation,46467
49779,Donation,Donation,207631
49951,"business partner",Transaction,74057
50090,Member,Membership,51435
50090,"partner company",Membership,37068
50090,"""premium"" corporate member",Membership,33271
50090,Co-owner,Ownership,97997
50090,investor,Ownership,155894
50090,NULL,Membership,194714
50090,NULL,Membership,87908
51367,NULL,Membership,78418
52369,NULL,Transaction,13385
52369,Donation,Donation,166456
52369,Donation,Donation,171499
68098,"partner company",Membership,37068
68098,"Institutional investor",Ownership,226
68105,"partner company",Membership,37068
68105,investor,Ownership,229056
69661,Partner,Membership,68741
69797,Investor,Ownership,75554
69798,Investor,Ownership,75554
71252,"Lobbying Client",Transaction,16204
71252,"Campaign Contribution",Donation,36930
71252,"Parent Organization",Ownership,166774
71252,Co-Founder,Membership,69229
71252,Member,Membership,185049
71252,Member,Membership,199132
71252,Member,Membership,205566
71252,"lobbying client",Transaction,199125
72606,NULL,Hierarchy,78892
72606,investor,Ownership,213421
72606,investor,Ownership,36
72606,investor,Ownership,132
72606,investor,Ownership,404
72606,investor,Ownership,540
72606,investor,Ownership,59222
72606,investor,Ownership,160
72606,investor,Ownership,16
72606,investor,Ownership,37620
72606,investor,Ownership,253
75507,"PR client",Transaction,37089
75554,client,Transaction,15683
75554,client,Transaction,74678
75585,NULL,Donation,77328
75585,"Corporate Council Member",Membership,130457
75585,Donation,Donation,33171
75585,Member,Membership,141252
75585,"Data analysis firm",Transaction,14639
75585,"Data analysis firm",Transaction,12
75585,"Data analysis firm",Transaction,17683
75585,"Data analysis firm",Transaction,9
75585,"Data analysis firm",Transaction,137859
75585,Donation,Donation,33307
75585,Donation,Donation,164308
75585,Donation,Donation,36873
75585,Donation,Donation,164332
75585,Donation,Donation,43374
75696,Shareholder,Ownership,227758
76480,Grant,Donation,33796
77417,NULL,Hierarchy,38038
83038,Donation,Donation,49463
83038,Donation,Donation,89087
83047,"associate member",Membership,48388
85798,"a supporter",Transaction,35493
85798,client,Transaction,204108
87863,Grant,Donation,87861
87863,Donation,Donation,34975
87863,NULL,Ownership,51758
87863,Donation,Donation,83047
87863,Donation,Donation,33327
87863,NULL,Donation,34877
88772,NULL,Membership,88492
88772,Owner,Ownership,99576
88772,Member,Membership,251653
89665,"associate member",Membership,48388
90798,Grant,Donation,38886
90798,"Strategic Partner",Membership,41410
90798,Donation,Donation,163950
90798,"Special Limited Partner",Ownership,104364
92734,"Campaign Contribution",Donation,69678
92734,"lobbying client",Transaction,26683
94007,Donation,Donation,41893
94007,Donation,Donation,49463
94007,"Leadership Board Member",Membership,110592
94007,"Parent Organization",Ownership,162241
94007,Investor,Ownership,217658
98246,NULL,Hierarchy,33692
98253,investor,Ownership,98246
101920,Owner,Ownership,160937
102625,NULL,Hierarchy,15750
102625,NULL,Transaction,204662
104473,investor,Ownership,104474
104473,investor,Ownership,104475
104473,investor,Ownership,104476
104473,Investor,Ownership,168629
104473,Investor,Ownership,168630
104473,Investor,Ownership,168631
109236,NULL,Membership,38465
109236,"Lobbying Client",Transaction,13817
109236,subsidary,Ownership,131200
109236,client,Transaction,138561
109236,NULL,Hierarchy,75554
118998,Shareholder,Ownership,228027
130919,"a foreign policy adviser",Transaction,13191
130919,"a foreign policy adviser",Transaction,91622
130919,"a foreign policy adviser",Transaction,96583
134668,"constituent society",Hierarchy,176410
